Transporteur ;Origine;Origine_uic;Destination ;Destination_uic ;Distance entre les gares;Train - Empreinte carbone (kgCO2e) ;Autocar longue distance - Empreinte carbone (kgCO2e);Avion - Empreinte carbone (kgCO2e);Voiture électrique (2,2 pers.) - Empreinte carbone (kgCO2e);Voiture thermique (2,2 pers.) - Empreinte carbone (kgCO2e)
TGV;Paris Montparnasse;87391003;Rennes;87471003;364;1.3;10.5;79.8;16.5;37.8
TGV;Paris Montparnasse;87391003;Angers-St-Laud;87484006;303;1.1;9.0;68.4;14.1;32.5
TGV;Paris Montparnasse;87391003;Saint-Pierre-des-Corps;87571240;221;0.8;7.2;52.5;11.2;25.8
TGV;Paris Est;87113001;Strasbourg;87212027;451;1.6;14.6;104.0;22.9;52.7
TGV;Paris Est;87113001;Metz;87192039;352;1.2;10.0;73.6;15.6;35.9
TGV;Paris Est;87113001;Mulhouse;87182063;495;1.7;16.2;101.9;25.4;58.4
TGV;Aeroport CDG2 TGV Roissy;87271494;Lille Europe;87223263;203;0.7;6.0;48.1;9.4;21.7
TGV;Aéroport Charles de Gaulle 2 TGV;87271494;Rennes;87471003;421;1.5;11.5;85.5;18.0;41.3
TGV;Paris Montparnasse;87391003;Biarritz;87673400;744;2.6;23.5;173.9;36.8;84.6
TGV;Paris Gare de Lyon;87686006;Annecy;87746008;545;1.9;16.8;113.6;26.3;60.5
Intercités;Marseille Saint-Charles;87751008;Toulouse-Matabiau;87611004;423;3.2;12.2;82.9;19.0;43.7
Intercités;Bayonne;87673004;Pau;87672006;106;0.8;3.4;23.9;5.3;12.2
Intercités;Paris Gare de Lyon;87686006;Vichy;87732008;364;2.7;12.3;81.9;19.2;44.2
TER;Paris Nord;87271007;Compiègne;87276691;84;2.6;2.5;18.7;3.9;8.9
TER;Paris Austerlitz;87547000;Orléans;87543009;121;3.7;4.1;28.9;6.4;14.7
TER;Rennes;87471003;Brest;87474007;249;7.6;7.3;54.6;11.5;26.4
TER;Toulouse-Matabiau;87611004;Perpignan;87784009;210;6.4;6.2;40.3;9.7;22.4
International;Paris Nord;88194060;Bruxelles N Aero;88194060;314;1.8;9.4;68.9;14.7;33.7
International;Paris Nord;88194060;Schiphol Airport;84005611;510;3.6;15.3;109.5;23.9;55.0
International;Paris Gare de Lyon;87686006;Geneve;85010082;503;1.8;16.2;107.1;25.4;58.4
International;Montpellier Saint-Roch;87773002;Barcelona Sants;71718010;344;1.5;10.5;74.1;16.4;37.7
International;Paris Gare de Lyon;87686006;Zuerich HB;85030007;614;2.2;19.7;127.7;30.8;70.7
International;Paris Nord;88194060;Koeln HBF;80154583;823;5.2;14.9;105.3;23.4;53.8
International;Paris Gare de Lyon;87686006;Milano P Garibaldi;83016451;877;4.8;27.4;166.9;42.9;98.6
International;Paris Est;87113001;Mannheim HBF;80140087;581;2.3;15.7;117.8;24.6;56.6
TGV;Paris Montparnasse;87391003;Toulouse Matabiau;87611004;794;2.8;20.4;153.1;31.9;73.3
TGV;Paris Montparnasse;87391003;Nantes;87481002;386;1.4;11.6;88.7;18.1;41.7
TGV;Paris Montparnasse;87391003;Brest;87474007;613;2.1;17.8;130.8;27.8;63.9
TGV;Paris Est;87113001;Nancy;87141002;367;1.3;11.6;73.8;18.1;41.7
TGV;Paris Gare de Lyon;87686006;Mâcon Loché TGV;87725705;369;1.3;12.1;88.7;18.9;43.5
TGV;Paris-Est;87113001;Champagne-Ardenne-TGV;87171926;175;0.6;4.4;41.6;7.0;16.0
TGV;Metz Ville;87192039;Strasbourg Ville;87212027;147;0.5;4.9;33.8;7.7;17.6
TGV;Paris Nord;87271007;Calais Ville;87317263;335;1.2;8.9;61.1;14.0;32.1
TGV;Marne la Vallee Chessy;87111849;Avignon TGV;87318964;646;2.3;21.0;148.7;32.9;75.7
TGV;Marne la Vallee Chessy;87111849;Aix en Provence TGV;87319012;720;2.5;23.1;164.3;36.2;83.2
TGV;Paris Gare de Lyon;87686006;Valence TGV Rhône-Alpes Sud;87763029;535;1.9;20.6;277.4;32.2;74.1
Intercités;Agen;87586008;Bordeaux Saint-Jean;87581009;135;1.0;4.2;30.9;6.5;15.0
TER;Paris Saint-Lazare;87384008;Rouen Rive Droite;87411017;139;4.2;4.4;28.9;6.9;15.8
TER;Paris Saint-Lazare;87384008;Trouville-Deauville;87444372;219;6.7;6.4;44.7;10.0;23.0
TER;Bayonne;87673004;Bordeaux Saint-Jean;87581009;198;6.0;5.7;43.2;9.0;20.6
TER;Nancy Ville;87141002;Strasbourg Ville;87212027;150;4.6;4.7;30.2;7.4;17.0
TER;Brive-la-Gaillarde;87594002;Bordeaux Saint-Jean;87581009;200;6.1;6.1;44.2;9.5;21.8
TER;Paris-Nord;87271007;Amiens;87313874;131;4.0;4.2;29.9;6.6;15.2
International;Paris Gare de Lyon;87686006;Barcelona Sants;71718010;1076;3.8;31.1;216.3;48.8;112.1
International;Paris Gare de Lyon;87686006;Oulx Cesana Clav Sestriere;83002048;660;2.5;20.9;142.2;32.8;75.4
International;Lyon Part Dieu;87723197;Bruxelles Midi Brussel Zuid;88140010;751;2.6;21.5;147.7;33.7;77.3
International;Paris Est;87113001;Karlsruhe HBF;80142281;523;2.0;16.7;115.7;26.1;60.0
TGV;Paris Montparnasse;87391003;Bayonne;87673004;735;2.6;23.1;172.9;36.2;83.2
TGV;Paris Montparnasse;87391003;Le Mans;87396002;202;0.7;6.3;47.6;9.8;22.6
TGV;Paris Montparnasse;87391003;La Rochelle;87485003;460;1.6;10.0;103.5;15.6;35.9
TGV;Paris Montparnasse;87391003;Poitiers;87575001;320;1.1;10.2;76.4;16.0;36.8
TGV;Paris Montparnasse;87391003;Angoulême;87583005;428;1.5;13.5;102.2;21.2;48.6
TGV;Paris Est;87113001;Reims;87171009;146;0.5;4.4;34.3;6.8;15.7
TGV;Paris Gare de Lyon;87686006;Dijon;87713040;290;1.0;9.5;68.9;14.8;34.0
TGV;Paris Gare de Lyon;87686006;Belfort-Montbéliard TGV;87300822;449;1.6;14.9;95.7;23.3;53.6
TGV;Paris Gare de Lyon;87686006;Besançon Viotte;87718007;367;1.3;12.5;85.5;19.6;44.9
TGV;Strasbourg Ville;87212027;Nantes;87481002;834;2.9;26.0;184.6;40.7;93.4
TGV;Lille Europe;87223263;Lyon Part Dieu;87723197;645;2.3;20.8;145.3;32.5;74.7
TGV;Paris Gare du Nord;87271007;Dunkerque;87281006;305;1.1;9.0;62.9;14.1;32.5
TGV;Bruxelles Midi Brussel Zuid;88140010;Lyon Part Dieu;87723197;733;2.6;21.5;147.7;33.7;77.4
TGV;Paris Gare de Lyon;87686006;Grenoble;87747006;556;1.9;17.3;125.8;27.1;62.2
TGV;Paris Gare de Lyon;87686006;Chambéry - Challes-les-Eaux;87741009;532;1.9;17.1;118.6;26.8;61.7
TGV;Paris Montparnasse;87391003;Bordeaux Saint-Jean;87581009;537;1.9;17.6;129.7;27.6;63.4
Intercités;Paris-Austerlitz;87547000;Limoges-Bénédictins;87592006;400;3.0;11.8;90.0;18.4;42.3
TGV;Paris Montparnasse;87391003;Arcachon;87582668;595;2.1;19.5;139.9;30.6;70.2
Intercités;Bordeaux Saint-Jean;87581009;Toulouse-Matabiau;87611004;257;1.9;7.3;55.1;11.5;26.4
TGV;Paris Gare du Nord;87271007;Lille Europe;87223263;225;0.8;6.9;53.3;10.8;24.8
Intercités;Bayonne;87673004;Toulouse-Matabiau;87611004;321;2.4;9.0;61.4;14.1;32.3
TGV;Lille Europe;87223263;Bruxelles Midi Brussel Zuid;88140010;107;0.4;3.4;24.4;5.3;12.1
TER;Dijon Ville;87713040;Lyon Part-Dieu;87723197;192;5.8;5.8;45.5;9.1;21.0
TGV;Aéroport Charles de Gaulle 2 TGV;87271494;Lyon Part Dieu;87723197;442;1.5;15.0;104.0;23.5;53.9
TER;Marseille Saint-Charles;87751008;Nice Ville;87756056;224;6.8;6.2;41.6;9.7;22.4
TGV;Paris Gare du Nord;87271007;Valenciennes;87343004;237;0.8;6.4;48.9;10.0;22.9
TER;Arcachon;87582668;Bordeaux Saint-Jean;87581009;58;1.8;2.2;13.3;3.5;8.0
TGV;Aéroport Charles de Gaulle 2 TGV;87271494;Bruxelles Midi Brussel Zuid;88140010;291;1.0;8.7;62.7;13.6;31.2
TER;Chambéry-Challes-les-Eaux;87741009;Lyon Part-Dieu;87723197;107;3.3;3.3;22.6;5.1;11.8
TGV;Paris Gare de Lyon;87686006;Marseille Saint-Charles;87751008;750;2.6;23.3;172.1;36.4;83.7
TER;Belfort;87184002;Besançon-Viotte;87718007;96;2.9;3.0;20.0;4.7;10.7
TGV;Paris Gare de Lyon;87686006;Saint-Raphaël;87757526;909;3.2;26.3;180.7;41.2;94.7
International;Paris Est;87113001;Luxembourg;82001000;373;1.3;11.2;77.0;17.6;40.4
TGV;Paris Gare de Lyon;87686006;Toulon;87755009;812;2.8;25.2;181.0;39.4;90.6
International;Paris Nord;88194060;Amsterdam Centraal;84000588;545;2.9;15.3;112.1;23.9;55.0
Intercités;Paris-Austerlitz;87547000;Rodez;87613422;660;5.0;19.8;130.5;31.0;71.3
International;Paris Gare de Lyon;87686006;Lausanne;85011205;479;1.7;15.6;107.9;24.4;56.2
TER;Paris Saint-Lazare;87384008;Caen;87444000;239;7.3;7.5;51.7;11.7;26.9
International;Paris Gare de Lyon;87686006;Basel SBB;85000109;525;1.8;17.1;108.4;26.8;61.7
TER;Le Havre Gare locale;87413013;Rouen Rive Droite;87411017;88;2.7;2.8;18.7;4.3;9.9
International;Marseille Saint-Charles;87751008;Bruxelles Midi Brussel Zuid;88140010;1072;3.8;30.8;219.4;48.3;110.9
TER;Paris Saint-Lazare;87384008;Le Havre Gare locale;87413013;228;6.9;6.3;45.8;9.9;22.8
TER;Geneve;85010082;Lyon Perrache;87722025;162;4.9;4.5;29.4;7.1;16.2
TER;Paris Saint-Lazare;87384008;Cherbourg;87444877;371;11.3;11.2;78.0;17.5;40.2
International;Paris Nord;88194060;London St-Pancras;70154005;496;2.4;13.9;88.9;21.7;49.9
International;Paris Gare de Lyon;87686006;Torino Porta Susa;83002220;734;3.3;23.3;152.4;36.5;83.8
International;Aéroport Charles de Gaulle 2 TGV;87271494;Bruxelles Midi Brussel Zuid;88140010;310;1.1;8.6;62.7;13.5;31.0
International;Strasbourg;87212027;Bruxelles Midi Brussel Zuid;88140010;730;2.6;12.9;91.3;20.2;46.3
International;Paris Est;87113001;Stuttgart HBF;80290346;608;2.5;18.7;130.8;29.2;67.2
TGV;Massy-TGV;87393702;Bordeaux Saint-Jean;87581009;523;1.8;17.1;145.6;26.7;61.5
TGV;Paris Montparnasse;87391003;Vannes;87476606;489;1.7;13.9;103.7;21.8;50.1
TGV;Paris Nord;87271007;Arras;87342014;179;0.6;5.7;42.4;8.9;20.5
TGV;Paris Gare du Nord;87271007;Douai;87345009;204;0.7;5.9;46.0;9.3;21.4
TGV;Marne-la-Vallée-Chessy;87111849;Lille Europe;87223263;227;0.8;7.3;51.5;11.4;26.2
TGV;Paris Gare du Nord;87271007;Lens;87345025;198;0.7;6.4;46.5;10.1;23.1
TGV;Paris Gare de Lyon;87686006;Lyon Part Dieu;87723197;429;1.5;14.0;102.4;21.9;50.3
TGV;Paris Gare de Lyon;87686006;Nice;87756056;972;3.4;28.0;179.1;43.9;100.9
TGV;Paris Gare de Lyon;87686006;Montpellier Saint-Roch;87773002;739;2.6;22.5;155.0;35.2;80.9
TGV;Lyon Part Dieu;87723197;Marseille Saint-Charles;87751008;325;1.1;9.5;72.0;14.8;34.0
TGV;Lyon Part Dieu;87723197;Montpellier Saint-Roch;87773002;314;1.1;9.1;65.3;14.2;32.7
Intercités;Paris-Gare-de-Lyon;87686006;Clermont-Ferrand;87734004;419;3.1;12.7;90.5;19.9;45.8
Intercités;Marseille Saint-Charles;87751008;Bordeaux Saint-Jean;87581009;680;5.1;19.4;131.6;30.4;69.9
Intercités;Paris-Austerlitz;87547000;Brive-la-Gaillarde;87594002;498;3.7;14.5;108.2;22.7;52.3
Intercités;Bordeaux Saint-Jean;87581009;Nantes;87481002;525;3.9;10.6;71.5;16.6;38.2
Intercités;Lyon-Part-Dieu;87723197;Nantes;87481002;812;6.1;20.6;134.2;32.2;74.1
TER;Grenoble;87747006;Lyon Part-Dieu;87723197;131;4.0;3.4;24.7;5.3;12.2
International;Paris Est;87113001;Frankfurt Main HBF;80110684;659;2.7;17.2;125.1;26.9;61.9
International;Nimes Centre;87775007;Barcelona Sants;71718010;394;1.7;11.8;84.8;18.5;42.6
International;Chambery Challes-les-Eaux;87741009;Torino Porta Susa;83002220;202;1.4;6.2;38.7;9.8;22.5
International;Marseille Saint-Charles;87751008;Geneve;85010082;521;1.8;13.8;85.5;21.7;49.8
International;Paris Est;87113001;Freiburg Breisgau HBF;80143503;530;2.0;17.9;108.9;28.0;64.4
International;Paris Est;87113001;Muenchen HBF;80203471;843;3.8;25.0;178.6;39.2;90.0
